                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0741,                0.02572,                0.04696,                0.61613,                0.96569,                0.78997,                      1,                0.90529,                0.54348,                0.84083,                0.99091,                0.91034,                0.89956,                 1.4542,                0.05912,                0.00973,                0.90649,                 1.2163,              0.0006338,              0.0006338,              0.0006338
                     72,                0.82104,                0.02649,                0.05473,                 0.5111,                0.88832,                 0.7996,                0.99765,                0.89377,                0.53206,                0.83205,                      1,                0.89994,                0.87854,                 1.4397,                0.06527,                0.01044,                0.91687,                 1.2306,               0.000614,               0.000614,               0.000614
                     73,                0.93083,                0.02592,                0.04298,                0.57029,                0.93162,                0.87112,                 0.9375,                0.90334,                 0.5339,                0.88741,                 0.9859,                0.90991,                0.88829,                 1.4254,                0.06727,                0.01219,                0.94037,                  1.234,              0.0005942,              0.0005942,              0.0005942
                     74,                0.79865,                0.03003,                0.01426,                  0.518,                0.87721,                0.83895,                 0.9375,                0.90587,                0.55073,                0.83895,                 0.9375,                0.90587,                0.89728,                 1.4301,                0.06834,                0.01189,                 0.9105,                 1.2365,              0.0005744,              0.0005744,              0.0005744
                     75,                0.87889,                0.02859,                0.03871,                 0.5352,                0.95332,                0.87069,                 0.9375,                0.89898,                0.53764,                0.87069,                 0.9375,                0.89898,                0.89036,                 1.4348,                0.06697,                0.01298,                0.92459,                 1.2407,              0.0005546,              0.0005546,              0.0005546
                     76,                  0.879,                 0.0292,                0.05201,                0.57521,                0.88926,                0.87025,                 0.9375,                0.90838,                0.52118,                0.87025,                 0.9375,                0.90838,                0.89776,                 1.4672,                 0.0658,                0.01395,                0.89847,                 1.2614,              0.0005348,              0.0005348,              0.0005348
                     77,                0.80028,                0.02242,                0.05841,                0.54106,                0.91967,                0.88165,                0.93155,                0.92767,                0.51347,                0.88165,                0.93155,                0.92767,                0.91701,                 1.4657,                0.06523,                0.01332,                0.85118,                 1.2706,               0.000515,               0.000515,               0.000515
                     78,                 0.8124,                0.02297,                0.09429,                0.52763,                0.92552,                0.88792,                0.99074,                0.93771,                0.54225,                0.88792,                0.99074,                0.93771,                0.92772,                 1.4254,                0.06636,                0.01266,                0.79514,                 1.2779,              0.0004952,              0.0004952,              0.0004952
                     79,                0.81866,                0.02991,                0.09366,                0.54967,                0.90313,                0.91487,                 0.9375,                0.98083,                0.60122,                0.91487,                 0.9375,                0.98083,                0.97046,                 1.3989,                0.06639,                0.01268,                0.73974,                 1.2682,              0.0004754,              0.0004754,              0.0004754
                     80,                0.81341,                0.03962,                0.03088,                0.51889,                0.88448,                0.98974,                 0.9375,                0.98833,                0.60982,                0.98974,                 0.9375,                0.98833,                0.96889,                 1.3837,                0.06787,                0.01232,                0.71294,                 1.2427,              0.0004556,              0.0004556,              0.0004556
                     81,                0.84671,                0.02238,                 0.0172,                0.50999,                0.86728,                0.99257,                 0.9375,                0.98833,                0.58729,                0.99257,                 0.9375,                0.98833,                0.96879,                  1.363,                 0.0713,                0.01238,                0.70703,                 1.2249,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.9013,                0.02379,                  0.062,                0.55032,                0.91669,                0.99174,                 0.9375,                0.98833,                0.57368,                0.99174,                 0.9375,                0.98833,                0.96887,                 1.3386,                0.07229,                0.01168,                0.68926,                 1.2078,               0.000416,               0.000416,               0.000416
                     83,                0.80003,                 0.0203,                0.12458,                0.51994,                0.93145,                0.92296,                 0.9375,                0.97696,                0.58293,                0.92296,                 0.9375,                0.97696,                0.95727,                 1.3181,                0.07317,                0.01293,                0.68891,                 1.1821,              0.0003962,              0.0003962,              0.0003962
                     84,                0.82525,                0.01735,                0.04931,                0.54677,                0.93664,                0.93234,                 0.9375,                0.98071,                0.60715,                0.93234,                 0.9375,                0.98071,                0.96164,                 1.3015,                0.07133,                0.01412,                0.67064,                 1.1677,              0.0003764,              0.0003764,              0.0003764
                     85,                0.79163,                 0.0304,                0.04401,                0.52944,                0.88097,                 0.9298,                 0.9375,                0.97925,                0.61926,                 0.9298,                 0.9375,                0.97925,                   0.96,                 1.2917,                0.07003,                0.01613,                0.66755,                 1.1603,              0.0003566,              0.0003566,              0.0003566
